Fuel,2020,2025,2030,2035,2040,2045,2050,unit
Erdgas,23.0,23.0,23.0,23.0,23.0,23.0,23.0,Eur/MWh
Öl/Treibstoff,51.0,51.0,51.0,51.0,51.0,51.0,51.0,Eur/MWh
Steinkohle,13.0,13.0,13.0,13.0,13.0,13.0,13.0,Eur/MWh
Braunkohle,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Eur/MWh
Strom aus AKW,30.0,30.0,30.0,30.0,30.0,30.0,30.0,Eur/MWh
Solare Prozesswärme,89.0,82.0,75.0,69.0,63.0,58.0,54.0,Eur/MWh
Biomasse (Holz/Stroh),30.0,30.0,30.0,30.0,30.0,30.0,30.0,Eur/MWh
Biomasse Anbau,50.0,50.0,50.0,50.0,50.0,50.0,50.0,Eur/MWh
Biomasse (feucht),1.0,1.0,1.0,1.0,1.0,1.0,1.0,Eur/MWh
H2-Import,275.0,242.0,213.0,187.0,164.0,145.0,127.0,Eur/MWh
CH4-Import,423.0,373.0,328.0,289.0,254.0,224.0,197.0,Eur/MWh
Fuel-Import,498.0,441.0,390.0,346.0,306.0,271.0,240.0,Eur/MWh
